,date,citedCount
effects of contingent and noncontingent maternal stimulation on the vocal behaviour of three- to four-month-old japanese infants, 26 September 2008,33
the development of segmental phonological production in a bilingual child a contrasting second case, 26 September 2008,33
the unintelligibility of speech to children, 26 September 2008,33
the development of hypothetical reference in the speech of young children, 26 September 2008,33
how the young french child avoids the pre-voicing problem for word-initial voiced stops, 26 September 2008,33
words in discourse a dialectical approach to the acquisition of meaning and use, 26 September 2008,33
the acquisition of compound vs. phrasal stress the role of prosodic constituents, 10 July 2002,33
performance factors in subject-auxiliary inversion by children, 17 February 2009,33
pitch alterations in british motherese some preliminary acoustic data, 17 February 2009,33
the transformation of sensorimotor morphemes into words a case study of the development of ‘more’ and ‘mine’, 26 September 2008,33
from babbling towards the sound systems of english and french a longitudinal two-case study, 17 February 2009,33
context effects on lexical specificity in maternal and child discourse, 26 September 2008,33
the development of mental terms pragmatics or semantics?, 17 February 2009,33
common aetiology for diverse language skills in 41/2-year-old twins, 24 May 2006,33
acquisition of locative meanings behind and in front of, 26 September 2008,33
comprehension of before and after in logical and arbitrary sequences, 26 September 2008,32
phonemic structures of delayed phonological systems, 26 September 2008,32
how much do children say in a day?, 26 September 2008,32
referential style at thirteen months why age-defined cross-sectional measures are inappropriate for the study of strategy differences in early language development, 17 February 2009,32
some facts one simply cannot deny, 26 September 2008,32
from phonetics to phonology the emergence of first words in italian, 15 September 2008,32
remembered voices, 26 September 2008,32
learning the phonetic cues to the voiced-voiceless distinction a comparison of child and adult speech perception, 26 September 2008,32
learning discourse topic management in the preschool years, 26 September 2008,32
context-specificity and generalization in the acquisition of pronominal distinctions, 26 September 2008,32
the effect of feedback on young children's inappropriate word usage, 26 September 2008,32
the development of noun definitions a metalinguistic analysis, 17 February 2009,32
bilingual children’s repairs of breakdowns in communication, 25 January 2007,32
the development of noun definitions a metalinguistic analysis, 17 February 2009,32
a morphemic measure of early language development data from modern hebrew, 26 September 2008,32
nouns before verbs in comprehension vs. production the view from pragmatics, 16 November 2000,32
intonation with single words purposive and grammatical use, 17 February 2009,32
the emergence of grammar early verbs and beyond, 11 November 2003,32
emergence of vocal alternation in mother-infant interchanges, 17 February 2009,32
continuity and development in the acquisition of inversion in yes/no questions dissociating movement and inflection, 21 November 2002,32
identifying formulas in first language acquisition, 26 September 2008,32
cognitive architectures and language acquisition a case study in pronoun comprehension, 30 March 2010,31
sizing things up the acquisition of the meaning of dimensional adjectives, 26 September 2008,31
 the acquisition of colour terms, 26 September 2008,31
contending with foreign accent in early word learning, 11 February 2011,31
consonant clusters in disordered speech constraints and correspondence patterns, 17 February 2009,31
the effect of sampling on estimates of lexical specificity and error rates, 08 November 2006,31
root infinitives in dutch early child language an effect of input?, 23 January 2002,31
the use of nouns and verbs by japanese children and their caregivers in book-reading and toy-playing contexts, 22 February 2006,31
analysis of pronominal errors a case-study, 17 February 2009,31
how children build their morphosyntax the case of french, 01 June 2000,31
"object transfer, intersubjectivity and third position repair early developmental observations of one child", 26 September 2008,31
early childhood language memory in the speech perception of international adoptees, 02 December 2009,31
